rurb,ssum,vwb,usum,Anteil der Unterstützer,Anteil Gesamt,Steigerung
Urbane Zentren,149304,1736645,52706,3.034932297619836,8.597266568584828,5.5623342709649926
Regionale Zentren,111179,1997429,31092,1.5566010105991253,5.566105228270942,4.009504217671816
Ländliche Vororte,119906,2639955,30852,1.1686562839139305,4.541971359360293,3.3733150754463623
Österreich gesamt,380590,6382377,114703,1.797183087116289,5.963138811762452,4.165955724646163
